2019,2,193497703649988
2018,2,144462033396313
2017,2,107679848832501
2016,2,045173745173745
2015,2,021780021780022
2014,1,9746701654639551
2013,1,9383020142227165
2012,1,8950859618248275
2011,1,8387287907352545
2010,1,8062935259221047
2009,1,7576283987915409
2020,1,58364312267658
2008,1,5767489246094635
2007,1,431665062560154
2006,1,369186046511628
2005,1,2589727057812163
2004,1,2167577413479054
2002,1,1955453652145431
2003,1,1762417713943747
2001,1,1472527472527472
2000,1,1329268292682926
1998,1,1211640211640213
1999,1,118432769367765
1997,1,1158823529411765
1996,1,0864903502501786
1993,1,0858638743455498
1995,1,0800933125972005
1991,1,071651090342679
1988,1,0668789808917198
1994,1,0660869565217392
1992,1,0552884615384615
1989,1,0450819672131149
1990,1,0415094339622641
1986,1,0392156862745099
1987,1,0353697749196142
1985,1,0261780104712042
