1810	0	1
1834	0	1
1841	0	1
1842	0	1
1845	0	6
1848	0	2
1849	0	1
1851	1	1
1852	0	1
1854	0	1
1855	0	1
1874	0	1
1876	1	0
1883	0	1
1887	0	2
1889	0	1
1892	0	2
1893	0	2
1894	0	2
1895	0	1
1896	0	2
1898	0	1
1899	0	2
1901	0	1
1905	0	2
1907	0	2
1909	0	1
1911	0	4
1912	0	1
1916	0	2
1917	0	1
1918	0	1
1921	1	2
1922	0	2
1923	1	0
1925	1	0
1926	0	1
1927	1	0
1929	0	2
1931	0	1
1933	0	2
1935	0	3
1936	2	0
1937	0	1
1939	0	2
1940	0	3
1941	1	0
1942	1	0
1944	0	2
1946	1	4
1947	0	2
1948	0	1
1949	0	1
1950	0	3
1951	5	8
1952	4	7
1953	3	4
1954	2	7
1955	8	14
1956	6	9
1957	3	11
1958	6	14
1959	5	23
1960	6	18
1961	17	18
1962	21	15
1963	9	19
1964	17	24
1965	26	22
1966	20	19
1967	41	24
1968	35	26
1969	43	21
1970	32	19
1971	59	15
1972	46	19
1973	64	40
1974	92	39
1975	249	116
1976	317	110
1977	299	121
1978	316	123
1979	366	149
1980	445	191
1981	537	204
1982	568	244
1983	802	304
1984	1042	365
1985	1152	406
1986	1427	456
1987	1892	485
1988	1973	568
1989	2542	679
1990	2899	796
1991	3165	936
1992	3695	1028
1993	4104	1209
1994	4756	1560
1995	5246	1921
1996	5942	2159
1997	6939	2872
1998	8142	3444
1999	9030	3895
2000	9981	4678
2001	10831	5203
2002	11809	5796
2003	13278	6514
2004	15160	8141
2005	17688	10123
2006	20666	12704
2007	24685	17200
2008	38982	28525
2009	61095	46575
2010	74302	58755
2011	87030	69042
2012	109338	86216
2013	126228	100940
2014	138790	112587
2015	156643	126535
2016	170948	137991
2017	194650	160945
2018	208720	174812
2019	224753	189276
2020	1495	1001
